Sample #,Unique Soil ID,Set,Set ID,Soil ID,Rep,Soil.mass,SOC.mass.class,SOC.mass,mmol.Mn.reduced,mmol.C.oxidized,POXC,POXC.max.theoretical,Detectable,SOC.pct,pH,Clay.pct
152,17,UIUC,18,UIUC-18,b,1.06,25mg,24.91,0.0787,0.059,668,3396,1,2.35,5.7,30
153,17,UIUC,18,UIUC-18,c,1.06,25mg,24.91,0.0862,0.0646,732,3396,1,2.35,5.7,30
154,18,UIUC,19,UIUC-19,a,2.5,std,20.75,0.0405,0.0304,146,1440,1,0.83,6.1,7.52
155,18,UIUC,19,UIUC-19,b,2.5,std,20.75,0.048,0.036,173,1440,1,0.83,6.1,7.52
156,18,UIUC,19,UIUC-19,c,2.5,std,20.75,0.0495,0.0372,178,1440,1,0.83,6.1,7.52
157,18,UIUC,19,UIUC-19,a,0.63,15mg,5.229,0.037,0.0277,529,5714,1,0.83,6.1,7.52
158,18,UIUC,19,UIUC-19,b,0.63,15mg,5.229,0.036,0.027,514,5714,1,0.83,6.1,7.52
159,18,UIUC,19,UIUC-19,c,0.63,15mg,5.229,0.0385,0.0289,550,5714,1,0.83,6.1,7.52
160,18,UIUC,19,UIUC-19,a,1.06,25mg,8.798,0.0571,0.0428,485,3396,1,0.83,6.1,7.52
161,18,UIUC,19,UIUC-19,b,1.06,25mg,8.798,0.0586,0.0439,497,3396,1,0.83,6.1,7.52
162,18,UIUC,19,UIUC-19,c,1.06,25mg,8.798,0.0526,0.0394,446,3396,1,0.83,6.1,7.52
163,19,UIUC,20,UIUC-20,a,2.5,std,103.25,0.1228,0.0921,442,1440,1,4.13,5.8,23.55
164,19,UIUC,20,UIUC-20,b,2.5,std,103.25,0.1258,0.0944,453,1440,1,4.13,5.8,23.55
165,19,UIUC,20,UIUC-20,c,2.5,std,103.25,0.1258,0.0944,453,1440,1,4.13,5.8,23.55
